title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
In Your Own Sweet Way,Brubeck Dave,Medium Swing,Eb,,0,0,,"(4, 4)","[[9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 11, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [11, 15, 18, 22], [5, 9, 12, 15], [11, 15, 18, 21], [10, 14, 17, 20], [3, 7, 10, 12], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 11, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [11, 15, 18, 22], [5, 9, 12, 15], [11, 15, 18, 21], [10, 14, 17, 20], [3, 7, 10, 12], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 8, 12], [8, 12, 15, 18], [7, 11, 14, 17], [0, 3, 7, 10], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 11, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [11, 15, 18, 22], [5, 9, 12, 15], [11, 15, 18, 21], [10, 14, 17, 20], [3, 7, 10, 12], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18], [8, 13, 15, 18]]"
Incentive,Silver Horace,Up Tempo Swing,Ab,,265,0,,"(4, 4)","[[2, 5, 8, 12], [7, 11, 14, 17, 20, 24, 28], [0, 3, 6, 10], [5, 9, 12, 15, 18, 22, 26], [10, 13, 16, 20], [3, 7, 10, 13, 16, 20, 24], [9, 12, 16, 19], [2, 6, 9, 12, 16], [1, 5, 8, 12], [0, 4, 7, 10, 13, 17, 21], [5, 8, 12, 15], [3, 5, 8, 12, 15], [2, 5, 9, 12, 16, 19], [7, 11, 14, 17], [0, 4, 7, 11], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17, 21, 24, 28], [0, 4, 7, 9, 14], [10, 13, 17, 20], [3, 7, 10, 13, 17], [2, 5, 8, 12], [7, 11, 14, 17, 20, 24, 28], [0, 3, 6, 10], [5, 9, 12, 15, 18, 22, 26], [10, 13, 16, 20], [3, 7, 10, 13, 16, 20, 24], [9, 12, 16, 19], [2, 6, 9, 12, 16], [1, 5, 8, 12], [0, 4, 7, 10, 13, 17, 21], [5, 8, 12, 15], [3, 5, 8, 12, 15], [10, 14, 17, 20, 24, 27, 31], [11, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15, 18], [10, 13, 17, 20], [3, 8, 10, 13, 17, 19], [7, 11, 14, 17, 20, 24, 28], [8, 12, 15, 19, 22]]"
Indian Summer,Victor-Aldubin-Herbert ,Medium Swing,G,,0,0,,"(4, 4)","[[7, 11, 14, 18], [2, 6, 10, 12], [7, 11, 14, 18], [2, 6, 10, 12], [7, 11, 14, 18], [0, 4, 7, 10, 14, 18], [11, 14, 18, 21], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [9, 12, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [4, 7, 11, 14], [9, 13, 16, 19], [9, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [2, 6, 10, 12], [7, 11, 14, 18], [2, 6, 10, 12], [7, 11, 14, 18], [0, 4, 7, 10, 14, 18], [11, 14, 18, 21], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [11, 14, 18, 21], [4, 7, 11, 14], [3, 7, 10, 13], [10, 13, 17, 20], [3, 7, 10, 13], [11, 14, 18, 21], [10, 14, 17, 20], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 16], [9, 12, 16, 19], [2, 6, 9, 12]]"
Indiana (Back Home Again In),Hanley James,Up Tempo Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [3, 7, 10, 13], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [10, 13, 17, 20], [3, 7, 10, 13], [5, 9, 12, 16], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [3, 7, 10, 13], [2, 6, 9, 12], [7, 11, 14, 17], [7, 11, 14, 17], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19, 22], [2, 5, 9], [4, 7, 10, 14], [9, 13, 16, 19], [2, 5, 9], [0, 2, 5, 9, 12], [11, 14, 17, 20], [9, 12, 16, 19], [2, 6, 9, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 14], [6, 9, 12, 15], [7, 10, 14, 17], [0, 4, 7, 10]]"
Infant Eyes,Shorter Wayne,Ballad,Eb,,0,0,,"(4, 4)","[[7, 10, 14, 17], [5, 8, 12, 15], [3, 7, 10, 14], [9, 13, 16, 19, 22, 26, 30], [6, 10, 13, 17], [5, 10, 12, 15], [3, 6, 10, 13], [10, 15, 17, 20], [10, 14, 17, 20], [3, 7, 10, 14], [3, 4, 8, 11, 15], [3, 7, 10, 14, 21], [4, 8, 11, 15], [11, 15, 18, 22], [10, 15, 17, 20], [8, 11, 15, 18], [3, 8, 10, 13], [2, 6, 9, 12, 15], [7, 10, 14, 17], [5, 8, 12, 15], [3, 7, 10, 14], [9, 13, 16, 19, 22, 26, 30], [6, 10, 13, 17], [5, 10, 12, 15], [3, 6, 10, 13], [10, 15, 17, 20], [10, 15, 17, 20]]"
Inner Urge,Henderson Joe,Up Tempo Swing,G,,0,0,,"(4, 4)","[[6, 9, 12, 16], [6, 9, 12, 16], [6, 9, 12, 16], [6, 9, 12, 16], [5, 9, 12, 16, 23], [5, 9, 12, 16, 23], [5, 9, 12, 16, 23], [5, 9, 12, 16, 23], [3, 7, 10, 14, 21], [3, 7, 10, 14, 21], [3, 7, 10, 14, 21], [3, 7, 10, 14, 21], [1, 5, 8, 12, 19], [1, 5, 8, 12, 19], [1, 5, 8, 12, 19], [1, 5, 8, 12, 19], [4, 8, 11, 15, 22], [1, 5, 8, 12, 19], [2, 6, 9, 13, 20], [11, 15, 18, 22, 29], [0, 4, 7, 11], [9, 13, 16, 20], [10, 14, 17, 20], [7, 11, 14, 18]]"
Interplay,Evans Bill,Medium Swing,F-,,0,0,,"(4, 4)","[[5, 8, 12, 14], [5, 8, 12, 14], [5, 8, 12, 14], [5, 8, 12, 14], [5, 8, 12, 14], [5, 9, 12, 15, 18], [10, 13, 17, 20], [10, 13, 17, 20], [5, 8, 12, 14], [5, 8, 12, 14], [1, 5, 8, 11], [0, 4, 7, 10, 13], [5, 8, 12, 14], [7, 10, 13, 17], [0, 4, 7, 10, 13]]"
Invitation,Kaper Bronislau,Even 8ths,C-,,0,0,,"(4, 4)","[[0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 6, 10, 13], [3, 6, 10, 13], [3, 6, 10, 13], [3, 6, 10, 13], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 11, 15, 19], [1, 5, 8, 11, 15, 19], [1, 4, 8, 11], [6, 10, 13, 16], [6, 10, 13, 16], [11, 14, 18, 21], [11, 14, 18, 21], [11, 14, 18, 21], [4, 8, 11, 14], [4, 8, 11, 14], [9, 12, 16, 19], [9, 12, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12], [2, 6, 9, 12], [7, 10, 14, 17], [7, 10, 14, 17], [4, 7, 10, 14], [3, 7, 10, 13], [2, 6, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 6, 10, 13], [3, 6, 10, 13], [11, 15, 18, 21, 25, 29], [11, 15, 18, 21, 25, 29], [5, 9, 12, 15], [10, 14, 17, 20], [3, 6, 10, 14], [3, 6, 10, 14]]"
Iris,Shorter Wayne,Waltz,F-,,0,0,,"(3, 4)","[[5, 8, 12, 15, 19, 22], [5, 8, 12, 15, 19, 22], [4, 8, 11, 15, 22], [6, 10, 13, 17, 24], [10, 14, 18, 20], [1, 5, 8, 11, 15, 19], [8, 12, 16, 19], [8, 12, 16, 19], [0, 3, 7, 10], [0, 3, 7, 10], [1, 5, 8, 11, 15, 19], [0, 3, 7, 10], [1, 5, 8, 11, 15, 19], [1, 4, 8, 9], [1, 5, 8, 11, 15, 19], [1, 5, 8, 11, 15, 19]]"
Irresistable You,DePaul Gene,Medium Swing,F,,0,0,,"(4, 4)","[[7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [9, 12, 16, 19], [10, 14, 17, 21], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [8, 12, 15, 19], [8, 11, 15, 18], [1, 5, 8, 11], [6, 10, 13, 17], [7, 10, 14, 17], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [7, 10, 14, 17], [9, 12, 16, 19], [10, 14, 17, 21], [11, 14, 17, 21], [10, 13, 17, 20], [9, 12, 16, 19], [8, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [10, 14, 17, 20, 24], [9, 12, 16, 19], [8, 11, 14, 17]]"
Is That So?,Pearson Duke,Medium Up Swing,C,,175,0,,"(4, 4)","[[5, 8, 12, 15], [3, 6, 10, 13, 17], [11, 15, 18, 22], [1, 4, 8, 11, 15], [9, 13, 16, 20], [2, 6, 9, 13], [7, 11, 14, 18], [6, 10, 14, 16], [5, 9, 12, 15, 19, 22, 26], [4, 8, 11, 14, 17], [3, 7, 10, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [9, 13, 17, 19], [8, 12, 15, 18, 22, 25, 29], [7, 11, 14, 17, 20], [6, 10, 13, 17], [3, 6, 10, 13], [1, 4, 8, 11], [9, 13, 16, 20], [11, 14, 18, 21, 25], [7, 11, 14, 18], [0, 4, 7, 11], [5, 9, 12, 16], [4, 8, 12, 14], [3, 7, 10, 13, 17, 20, 24], [2, 6, 9, 12, 15], [1, 5, 8, 12], [7, 10, 14, 17], [0, 4, 7, 10], [8, 11, 15, 18], [1, 5, 8, 11], [9, 12, 16, 19], [2, 6, 9, 12], [5, 8, 12, 15], [3, 6, 10, 13, 17], [11, 15, 18, 22], [1, 4, 8, 11, 15], [9, 13, 16, 20], [2, 6, 9, 13], [7, 11, 14, 18], [6, 10, 14, 16], [5, 9, 12, 15, 19, 22, 26], [4, 8, 11, 14, 17], [3, 7, 10, 14], [0, 3, 7, 10], [10, 13, 17, 20, 24], [6, 10, 13, 17], [8, 11, 15, 18, 22], [4, 8, 11, 15], [9, 13, 16, 20], [2, 6, 9, 13], [5, 9, 12, 16, 23]]"
Is You Is Or Is You Ain't (Ma' Baby),Austin-Jordan,Medium Swing,Ab,,0,0,,"(4, 4)","[[5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15], [1, 5, 8, 11], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [8, 12, 15], [3, 7, 11, 13], [8, 12, 16, 18], [1, 5, 8], [1, 4, 8], [8, 12, 15], [8, 12, 15, 18], [8, 12, 16, 18], [1, 5, 8], [6, 10, 13], [6, 10, 13, 16], [5, 9, 12, 15], [10, 13, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12], [5, 8, 12], [10, 14, 17, 20], [3, 7, 10, 13], [6, 10, 13, 16], [5, 9, 12, 15], [10, 14, 17, 20], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [1, 5, 8, 11], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [0, 4, 7, 10], [5, 8, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15], [8, 12, 15]]"
Isfahan,Strayhorn-Ellington,Medium Swing,Db,,0,0,,"(4, 4)","[[1, 5, 8, 12], [10, 14, 17, 21], [10, 14, 17, 20], [3, 7, 10, 13, 17], [3, 7, 10, 13, 17], [9, 13, 16, 20], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 12], [1, 5, 8, 12], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [9, 12, 15, 19], [2, 6, 9, 12, 15], [7, 10, 14, 17], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 9, 12, 16], [4, 8, 11, 15], [3, 7, 10, 14], [2, 6, 9, 13], [1, 5, 8, 12], [10, 14, 17, 21], [10, 14, 17, 20], [3, 7, 10, 13, 17], [3, 7, 10, 13, 17], [9, 13, 16, 20], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 11, 15, 19], [1, 5, 8, 11, 15, 19], [6, 10, 13, 17], [0, 4, 7, 10, 15], [5, 9, 12, 15, 19, 23], [10, 14, 17, 20], [3, 7, 10, 13, 17, 20, 24], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 10], [3, 6, 10, 13], [8, 12, 15, 18]]"
Island Birdie,Tyner McCoy,Calypso,Eb,,Latin-Brazil: Samba,280,3,"(4, 4)","[[3, 7, 10, 12], [7, 11, 14], [8, 12, 15, 19], [10, 14, 17, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [3, 7, 10, 12], [7, 11, 14], [8, 12, 15, 19], [10, 14, 17, 20], [7, 10, 14, 17], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [2, 5, 8, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [8, 13, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [6, 9, 13, 16], [6, 9, 13, 16], [8, 13, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [5, 8, 12, 15], [10, 14, 17, 20], [6, 9, 13, 16], [11, 15, 18, 21], [8, 13, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [6, 9, 13, 16], [6, 9, 13, 16], [8, 13, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [5, 8, 12, 15], [10, 14, 17, 20], [6, 9, 13, 16], [11, 15, 18, 21], [8, 13, 15, 18], [10, 15, 17, 20], [10, 14, 17, 20]]"
Isn't It A Lovely Day (To Be Caught In The Rain),Berlin Irving,Medium Swing,G,,0,0,,"(4, 4)","[[0, 4, 7, 11], [0, 3, 7, 9], [2, 6, 9, 12], [11, 14, 18, 21], [9, 12, 16, 19], [7, 11, 14, 18], [5, 7, 11, 14, 17], [-8, 0, 7, 11], [-9, 0, 7, 9], [2, 6, 9, 12], [11, 14, 18, 21], [9, 12, 16, 19], [7, 11, 14, 16, 21], [11, 7, 14, 18], [10, 13, 16, 19], [-3, 2, 6, 12], [8, 11, 14, 17], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [6, 10, 14, 16], [5, 10, 14, 17, 21], [3, 7, 10, 13, 17, 21], [2, 6, 9, 12], [1, 4, 7, 11], [0, 3, 7, 9], [2, 6, 9, 12], [11, 14, 18, 21], [9, 12, 16, 19], [7, 11, 14, 16], [5, 7, 11, 14, 17], [-8, 0, 7, 9], [-9, 0, 7, 9], [2, 6, 9, 12], [7, 11, 14, 16, 21], [7, 9, 12, 16, 19], [7, 11, 14, 16, 21], [2, 5, 9, 12], [7, 11, 14], [5, 7, 11, 14, 17], [-8, 0, 7], [-9, 0, 7], [2, 7, 11, 14, 16], [1, 4, 7, 11], [0, 4, 7, 11], [0, 3, 7, 9], [2, 6, 9, 12], [7, 11, 14, 16], [10, 13, 16, 19], [9, 12, 16, 19], [2, 6, 9, 12]]"
Isn't It A Pity,Gershwin George,Ballad,C,,0,0,,"(4, 4)","[[0, 4, 7, 11], [9, 12, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [4, 7, 11, 14], [2, 5, 9, 12], [7, 11, 14, 17], [4, 7, 11, 14], [9, 13, 16, 19, 23, 26, 30], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [9, 12, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [4, 7, 11, 14], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [6, 9, 12, 16], [11, 15, 18, 21, 24, 26], [4, 7, 11, 14], [1, 5, 8, 11, 15, 18, 22], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 7, 9, 12], [7, 11, 14, 18], [4, 7, 11, 14], [9, 12, 16, 19], [2, 6, 9, 12], [7, 12, 14, 17], [5, 9, 12, 15, 19, 23], [1, 5, 8, 11, 15, 19], [0, 4, 7, 11], [9, 12, 16, 19], [6, 9, 12, 16], [11, 15, 18, 21, 24], [4, 7, 11, 14], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 11], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12], [4, 7, 11, 14], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 9], [9, 12, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17]]"
Isn't It Romantic?,Rodgers Richard,Medium Swing,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 12], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [-5, 3, 10, 12], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [10, 14, 17, 20], [7, 11, 14, 17], [0, 3, 7], [11, 7, 14, 17], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [-5, 0, 4, 10], [5, 8, 12], [2, 5, 8], [7, 11, 14, 17], [0, 3, 7], [5, 9, 12, 15], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10, 12], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [-5, 3, 10, 12], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [10, 13, 17, 20], [3, 7, 10, 13], [5, 8, 12], [3, 5, 8, 12], [2, 5, 8, 12], [7, 11, 14, 17, 20], [0, 3, 7], [-2, 0, 3, 7], [-3, 0, 3, 7], [8, 11, 15, 17], [7, 10, 14, 17], [6, 10, 13, 16], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [8, 11, 15, 17], [3, 7, 10, 12]]"
Isotope,Henderson Joe,Medium Up Swing,C,,0,0,,"(4, 4)","[[0, 4, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [0, 4, 7, 10], [9, 14, 16, 19], [8, 13, 15, 18], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [9, 13, 16, 19], [6, 10, 13, 16], [3, 7, 10, 13], [0, 4, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [7, 11, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [0, 4, 7, 10], [9, 14, 16, 19], [8, 13, 15, 18], [2, 5, 9, 12], [7, 11, 14, 17], [0, 4, 7, 10], [9, 13, 16, 19], [6, 10, 13, 16], [3, 7, 10, 13], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [0, 4, 7, 10], [9, 13, 16, 19], [8, 12, 15, 18], [7, 11, 14, 17], [0, 4, 7, 10], [9, 13, 16, 19], [6, 10, 13, 16], [3, 7, 10, 13]]"
Israel,Carisi John,Medium Swing,D-,,0,0,,"(4, 4)","[[2, 5, 9], [2, 5, 9, 10], [2, 5, 9, 11], [2, 6, 9, 12, 17], [7, 10, 14], [7, 10, 14, 18], [7, 10, 14, 17], [7, 10, 14, 16], [2, 5, 9, 12], [4, 7, 11, 14], [5, 9, 12, 16], [10, 14, 17, 20], [9, 13, 16, 19, 22], [2, 5, 9], [5, 9, 12, 15], [10, 14, 17, 20], [9, 13, 16, 19, 23, 26, 30]]"
It Ain't Necessarily So,Gershwin George,Medium Swing,G-,,0,0,,"(4, 4)","[[7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [1, 5, 8, 11], [0, 4, 7, 10], [1, 5, 8, 11], [9, 13, 17, 19, 22], [2, 6, 9, 12, 17], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [1, 5, 8, 11], [0, 4, 7, 10], [1, 5, 8, 11], [9, 13, 17, 19, 22], [2, 6, 9, 12, 17], [7, 10, 14, 17], [0, 4, 7, 10], [10, 13, 17, 20], [3, 7, 10, 13], [8, 12, 15, 19], [9, 12, 16, 19], [2, 6, 9, 12], [7, 11, 14, 18], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [9, 13, 16, 19], [2, 6, 9, 12, 16, 19, 23], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [7, 10, 14, 17], [0, 4, 7, 10], [0, 4, 7, 10], [1, 5, 8, 11], [0, 4, 7, 10], [1, 5, 8, 11], [9, 13, 17, 19, 22], [2, 6, 9, 12, 17], [7, 10, 14, 17], [0, 4, 7, 10]]"
It Could Happen To You,Van-Heusen Jimmy,Medium Swing,Eb,,0,0,,"(4, 4)","[[3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [6, 9, 12, 15], [3, 7, 10, 14], [8, 12, 15, 19], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [2, 5, 8, 12], [7, 11, 14, 17, 20], [0, 3, 7, 10], [5, 9, 12, 15], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [4, 7, 10, 13], [5, 8, 12, 15], [6, 9, 12, 15], [3, 7, 10, 14], [8, 12, 15, 19], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [8, 12, 15, 18], [7, 10, 13, 17], [0, 4, 7, 10, 13], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 14], [0, 3, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20]]"
It Don't Mean A Thing,Ellington Duke,Medium Up Swing,Bb,,0,0,,"(4, 4)","[[7, 10, 14], [6, 7, 10, 14], [5, 7, 10, 14], [-8, 0, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 10, 14], [0, 4, 7, 10], [1, 4, 7, 10], [2, 10, 14, 17, 19], [2, 6, 8, 12], [7, 10, 14], [6, 7, 10, 14], [5, 7, 10, 14], [-8, 0, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 10, 14], [0, 4, 7, 10], [5, 9, 12, 15], [10, 14, 17, 19], [10, 14, 17, 19], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 12], [3, 7, 10, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 15], [2, 6, 9, 12], [7, 10, 14], [6, 7, 10, 14], [5, 7, 10, 14], [-8, 0, 7, 10], [3, 7, 10, 13], [2, 6, 9, 12], [7, 10, 14], [0, 4, 7, 10], [1, 4, 7, 10], [10, 14, 17, 19], [10, 14, 17, 19]]"
